x,y
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,2
83,1
84,1
85,1
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,1
94,1
95,1
96,1
97,3
98,2
99,2
100,1
101,3
102,3
103,3
104,3
105,3
106,3
107,12
108,2
109,3
110,3
111,2
112,2
113,3
114,3
115,3
116,3
117,3
118,3
119,5
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,3
131,5
132,5
133,4
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,6
142,6
143,6
144,7
145,4
146,6
147,6
148,7
149,6
150,7
151,7
152,10
153,7
154,6
155,8
156,8
157,7
158,7
159,8
160,9
161,9
162,9
163,10
164,7
165,9
166,9
167,9
168,10
169,8
170,10
171,9
172,10
173,11
174,12
175,21
176,12
177,10
178,9
179,50
180,13
181,34
182,12
183,13
184,14
185,15
186,15
187,15
188,16
189,13
190,13
191,11
192,19
193,15
194,18
195,14
196,16
197,13
198,15
199,24
200,19
201,47
202,23
203,15
204,18
205,23
206,19
207,19
208,23
209,23
210,19
211,25
212,23
213,20
214,23
215,16
216,18
217,76
218,34
219,21
220,21
221,43
222,25
223,24
224,25
225,25
226,35
227,24
228,22
229,30
230,29
231,37
232,34
233,30
234,20
235,23
236,22
237,22
238,26
239,26
240,21
241,19
242,23
243,27
244,26
245,25
246,24
247,26
248,24
249,27
250,28
251,27
252,29
253,21
254,28
255,28
256,28
257,26
258,28
259,29
260,28
261,33
262,34
263,27
264,30
265,34
266,31
267,31
268,38
269,29
270,31
271,32
272,30
273,36
274,30
275,31
276,31
277,43
278,37
279,40
280,39
281,45
282,42
283,31
284,37
285,41
286,54
287,67
288,40
289,74
290,91
291,56
292,48
293,57
294,45
295,78
296,51
297,51
298,42
299,50
300,44
301,48
302,52
303,46
304,45
305,50
306,52
307,50
308,58
309,57
310,44
311,49
312,47
313,51
314,48
315,51
316,44
317,54
318,48
319,50
320,47
321,52
322,50
323,51
324,47
325,53
326,55
327,51
328,52
329,51
330,52
331,50
332,54
333,53
334,54
335,48
336,58
337,52
338,61
339,55
340,56
341,57
342,68
343,67
344,109
345,88
346,105
347,97
348,93
349,96
350,112
351,73
352,75
353,61
354,91
355,73
356,71
357,72
358,69
359,77
360,66
361,64
362,75
363,64
364,70
365,67
366,68
367,65
368,68
369,74
370,78
371,69
372,69
373,67
374,81
375,73
376,75
377,78
378,77
379,95
380,82
381,76
382,80
383,84
384,88
385,75
386,87
387,80
388,88
389,94
390,97
391,90
392,96
393,94
394,91
395,103
396,112
397,101
398,94
399,93
400,101
401,99
402,101
403,94
404,105
405,95
406,97
407,101
408,109
409,106
410,112
411,111
412,125
413,99
414,105
415,116
416,100
417,113
418,109
419,109
420,115
421,122
422,104
423,107
424,123
425,128
426,109
427,123
428,122
429,120
430,111
431,111
432,120
433,119
434,120
435,118
436,113
437,111
438,120
439,122
440,122
441,146
442,132
443,132
444,147
445,121
446,130
447,121
448,128
449,143
450,140
451,135
452,138
453,133
454,136
455,137
456,139
457,134
458,133
459,141
460,134
461,130
462,141
463,139
464,141
465,139
466,136
467,136
468,143
469,159
470,137
471,155
472,156
473,148
474,166
475,149
476,155
477,149
478,147
479,167
480,161
481,169
482,164
483,169
484,154
485,153
486,156
487,158
488,171
489,163
490,183
491,162
492,170
493,174
494,178
495,156
496,162
497,175
498,165
499,183
500,182
501,175
502,174
503,176
504,178
505,174
506,178
507,196
508,187
509,174
510,186
511,180
512,188
513,201
514,278
515,276
516,206
517,172
518,203
519,187
520,194
521,200
522,191
523,189
524,197
525,199
526,202
527,208
528,379
529,287
530,362
531,301
532,191
533,208
534,183
535,206
536,222
537,209
538,274
539,305
540,242
541,249
542,206
543,230
544,218
545,211
546,208
547,193
548,199
549,204
550,212
551,205
552,216
553,223
554,224
555,198
556,202
557,218
558,203
559,207
560,213
561,222
562,221
563,216
564,222
565,215
566,224
567,215
568,228
569,228
570,221
571,236
572,220
573,233
574,233
575,237
576,227
577,234
578,223
579,236
580,258
581,237
582,262
583,252
584,273
585,304
586,258
587,262
588,249
589,259
590,262
591,269
592,271
593,269
594,258
595,268
596,280
597,266
598,257
599,263
600,274
601,264
602,289
603,314
604,376
605,373
606,344
607,327
608,302
609,277
610,277
611,274
612,309
613,281
614,276
615,283
616,298
617,315
618,315
619,298
620,287
621,285
622,281
623,295
624,294
625,335
626,486
627,472
628,445
629,470
630,322
631,301
632,316
633,301
634,305
635,321
636,330
637,301
638,334
639,354
640,354
641,349
642,342
643,328
644,346
645,324
646,347
647,327
648,340
649,365
650,328
651,366
652,395
653,384
654,337
655,330
656,328
657,325
658,371
659,357
660,357
661,378
662,376
663,384
664,376
665,359
666,363
667,433
668,372
669,358
670,381
671,393
672,394
673,412
674,372
675,389
676,390
677,380
678,379
679,380
680,408
681,408
682,391
683,375
684,511
685,397
686,394
687,414
688,402
689,418
690,409
691,402
692,410
693,424
694,424
695,394
696,479
697,426
698,414
699,450
700,449
