var1, var2, answer
0.8, 0.48, 1.27258242091
-0.72, -0.01, -1.31870340603
-0.58, -0.62, -0.892049751781
-0.28, 0.08, -0.55094356407
0.77, -0.39, 1.28772357818
-0.55, -0.54, -0.896626747784
-0.95, -0.31, -1.54928578295
-0.09, -0.01, -0.179748110616
0.63, -0.13, 1.16834698371
-0.6, 0.73, -0.841514235301
0.27, -0.3, 0.509636548531
-0.4, 0.49, -0.687193198329
0.35, 0.7, 0.524525418139
-0.84, 0.64, -1.19455017533
-0.15, -0.64, -0.239727384246
0.12, 0.38, 0.222344986712
-0.97, 0.19, -1.62008252797
0.37, 0.11, 0.718859727434
0.85, -0.84, 1.00290348443
-0.82, 0.89, -0.920383956819
0.4, -0.94, 0.459348550042
0.81, 0.26, 1.39988773321
0.04, -0.73, 0.0595980564054
0.59, -0.87, 0.717512714848
-0.06, -0.34, -0.113062693745
-0.73, 0.05, -1.33207244322
0.52, 0.94, 0.586107910352
0.93, -0.4, 1.47668171913
0.65, 0.08, 1.20650168374
-0.1, 0.56, -0.169168745008
-0.68, -0.75, -0.920161713
0.54, -0.99, 0.56420241116
-0.1, 0.81, -0.137669968668
-0.77, -0.39, -1.28772357818
-0.34, -0.02, -0.666840793891
0.41, 0.97, 0.450667332451
0.4, 0.54, 0.668014985761
0.39, 0.9, 0.472657817323
0.97, -0.15, 1.6312462719
0.33, 0.45, 0.583567211911
0.79, 0.64, 1.13954269281
-0.29, 0.82, -0.390165344475
-0.45, 0.91, -0.53391649547
-0.54, 0.46, -0.921385678777
-0.25, -0.73, -0.36871819495
-0.02, 0.38, -0.0371441090336
0.52, -0.92, 0.602040005883
-0.81, -0.44, -1.31060005132
0.09, 0.53, 0.155095695471
-0.99, 0.25, -1.62007191108
0.08, 0.94, 0.0942654590541
-0.26, -0.52, -0.446198867308
0.63, -0.44, 1.06605939925
0.36, 0.89, 0.443451278151
-0.15, 0.73, -0.222714942107
-0.99, 0.85, -1.1035261108
0.04, -0.53, 0.0690061605628
0.23, -0.61, 0.373722650558
-0.19, -0.41, -0.346412850314
-0.25, 0.58, -0.413888342715
0.99, 0.59, 1.38937598881
-0.62, 0.22, -1.13406146228
-0.07, -0.86, -0.0912666684662
0.68, 0.86, 0.82049625718
0.45, 0.71, 0.65972255688
0.33, 0.5, 0.568749022043
-0.55, 0.15, -1.03363602955
0.01, 0.77, 0.0143579740899
0.39, 0.74, 0.561514381923
0.08, 0.34, 0.150679901167
0.58, -0.0, 1.09604787358
0.76, -0.24, 1.33835112265
-0.41, 0.2, -0.781327359947
0.54, 0.42, 0.93890377559
0.67, -0.92, 0.75241165588
-0.97, 0.47, -1.4708838868
0.69, 0.25, 1.23349756547
0.99, 0.97, 0.945210187482
0.7, 0.84, 0.859982715961
-0.22, 0.0, -0.436459246162
-0.76, -0.97, -0.778893939855
-0.72, -0.25, -1.27777199872
0.69, -0.2, 1.2476976357
0.9, 0.94, 0.923993661966
-0.05, 0.88, -0.0636885697738
0.91, -0.84, 1.05392879421
-0.85, -0.79, -1.0575703878
-0.02, 0.16, -0.0394864587816
0.6, -0.05, 1.12787363467
0.91, -0.37, 1.47215185194
-0.66, 0.19, -1.20416669052
-0.64, -0.96, -0.685007042425
-0.17, 0.52, -0.293639374767
-0.08, -0.82, -0.109038997999
-0.53, 0.61, -0.828718802147
-0.73, -0.84, -0.890221382095
-0.28, 0.93, -0.330429595817
-0.51, -0.63, -0.788921288827
0.9, -0.96, 0.898507276599
-0.96, -0.34, -1.54459334595
